Best Price,Best House,Make,Model,Detail,Size(s),Part ID,National,Spec Make,Texas Plumbing Supply,Spec Make,Ferguson,Spec Make,Reece,Spec Make,Winston Water Cooler,Spec Make,Texas Wholesale,Spec Make,PlumbingSupply.com,Spec Make,Moore Supply,Spec Make,Hughes Supply,Spec Make,Bruh,Winsupply,Spec Make,Other,Column 1,HIDDEN COLUMN FOR TWP CODES
$1.21 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"1-1/4""",PVC114COUP,,,,,,,,,,,$1.21 ,BMI,,,,,,,,,,,,COUPLING (H X H)
$0.25 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"1-1/2""",PVC112COUP,,,$0.55 ,,,,,,,,$0.25 ,,,,,,,,,,,,,COUPLING (H X H)
$0.35 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"2""",PVC2COUP,$0.69 ,,$0.78 ,,,,,,,,$0.35 ,,,,,,,,,,,,,COUPLING (H X H)
$1.20 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"3""",PVC3COUP,,,$2.74 ,,,,,,,,$1.20 ,,,,,,,,,,,,,COUPLING (H X H)
$2.04 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"4""",PVC4COUP,,,$4.65 ,,,,,,,,$2.04 ,,,,,,,,,,,,,COUPLING (H X H)
$6.44 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"6""",PVC6COUP,,,$15.20 ,,,,,,,,$6.44 ,,,,,,,,,,,,,COUPLING (H X H)
$11.20 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"8""",PVC8COUP,,,$25.26 ,,,,,,,,$11.20 ,,,,,,,,,,,,,COUPLING (H X H)
$26.88 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"10""",PVC10COUP,,,$87.80 ,,,,,,,,$26.88 ,,,,,,,,,,,,,COUPLING (H X H)
$45.78 ,Texas Wholesale,Lesso,DWV Fitting,COUPLING (H X H),"12""",PVC12COUP,,,$149.55 ,,,,,,,,$45.78 ,,,,,,,,,,,,,COUPLING (H X H)
$2.68 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"1-1/4""",PVC114FA,,,,,,,,,,,$2.68 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$0.48 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"1-1/2""",PVC112FA,,,$1.08 ,,,,,,,,$0.48 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$0.82 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"2""",PVC2FA,,,$1.85 ,,,,,,,,$0.82 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$2.18 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"3""",PVC3FA,,,$4.93 ,,,,,,,,$2.18 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$2.82 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"4""",PVC4FA,,,$6.40 ,,,,,,,,$2.82 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$9.09 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"6""",PVC6FA,,,$20.52 ,,,,,,,,$9.09 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$20.08 ,Texas Wholesale,Lesso,DWV Fitting,FEMALE ADAPTER (FPT X H),"8""",PVC8FA,,,$44.03 ,,,,,,,,$20.08 ,,,,,,,,,,,,,FEMALE ADAPTER (FPT X H)
$1.20 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"1-1/2""×1-1/4""",PVC112114BELL,,,,,,,,,,,$1.20 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$0.77 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"2""×1-1/2""",PVC2112BELL,,,,,,,,,,,$0.77 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$1.74 ,Texas Plumbing Supply,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"3""×1-1/2""",PVC3112BELL,,,$1.74 ,,,,,,,,$2.26 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$1.75 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"3""×2""",PVC32BELL,,,$6.15 ,,,,,,,,$1.75 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$2.86 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"4""×1-1/2""",PVC4112BELL,,,$3.97 ,,,,,,,,$2.86 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$3.44 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"4""×2""",PVC42BELL,,,$7.77 ,,,,,,,,$3.44 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$3.68 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"4""×3""",PVC43BELL,,,$8.30 ,,,,,,,,$3.68 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
$14.31 ,Texas Wholesale,Lesso,DWV Fitting,PIPE INCREASER-REDUCER (H X H),"6""×4""",PVC64BELL,,,$24.70 ,,,,,,,,$14.31 ,,,,,,,,,,,,,PIPE INCREASER-REDUCER (H X H)
